neuron,mean,sd
808,-0.38898054,0.1364963
809,-0.4413963,0.13340285
810,-0.6132283,0.37435567
811,-0.45856804,0.1372926
812,-0.4987867,0.18826772
813,-0.6141407,0.35942954
814,-0.34938487,0.25123453
815,-0.5116096,0.1257274
816,-0.5113988,0.1536439
817,-0.81855094,0.4828036
818,-0.48835537,0.1586455
819,-0.44066644,0.17490305
820,-0.46494213,0.1577893
821,-0.48664966,0.21168654
822,-0.44274276,0.14909627
823,-0.5093676,0.13474768
824,-0.7085028,0.43340883
825,-0.73008645,0.44217807
826,-0.48725194,0.17711388
827,-0.45406246,0.13615415
828,-0.5269947,0.13642316
829,-0.50067437,0.14739868
830,-0.5067558,0.17474803
831,-0.85665387,0.5000731
832,-0.4883338,0.16258961
833,-0.88298047,0.49940616
834,-0.47004193,0.1754463
835,-0.48391142,0.18638833
836,-0.5060195,0.1419735
837,-0.49507228,0.15613802
838,-0.50864094,0.14864938
839,-0.54001796,0.35052586
840,-0.6298133,0.4088426
841,-0.48065135,0.14889657
842,-0.4866185,0.17028111
843,-0.51616687,0.17363913
844,-0.433162,0.26412404
845,-0.46792865,0.16332985
846,-0.5191224,0.15755773
847,-0.53696495,0.30448797
848,-0.41075882,0.15804599
849,-1.0650977,0.54598695
850,-0.5050936,0.15658012
851,-0.38821825,0.124928236
852,-0.47125784,0.16626495
853,-0.4593774,0.14651851
854,-0.47422135,0.16019431
855,-0.3964176,0.28459162
856,-0.45227924,0.1297617
857,-0.7263479,0.4547239
858,-0.40547255,0.12812987
859,-0.5077914,0.14636108
860,-0.49004254,0.16706295
861,-0.7043388,0.40224412
862,-0.5192818,0.17243005
863,-0.5095364,0.15593605
864,-0.9484244,0.54385203
865,-0.7878169,0.39901456
866,-0.72494364,0.3753771
867,-0.5333409,0.3430735
868,-0.54790115,0.16614386
869,-0.7060014,0.38856038
870,-0.43393293,0.18455184
871,-0.56462324,0.37708995
872,-0.4324005,0.16570312
873,-0.59747505,0.38418645
874,-0.6582635,0.43689135
875,-0.7764613,0.47503576
876,-0.49968395,0.26552197
877,-0.6755747,0.41692394
878,-0.5992984,0.334179
879,-0.62991863,0.3951079
880,-0.49170867,0.14456369
881,-0.96289617,0.51464117
882,-0.5111378,0.1701496
883,-0.4350678,0.14504884
884,-0.70048976,0.3850522
885,-0.47843316,0.13679227
886,-0.47466287,0.133327
887,-0.45726952,0.2719518
888,-0.44420484,0.16695318
889,-0.54792804,0.34221497
890,-0.41495594,0.1512328
891,-0.49888647,0.16246183
892,-0.4494267,0.14617944
893,-0.49081132,0.33161452
894,-0.52269924,0.16655198
895,-0.48901242,0.15569045
896,-0.58355623,0.32895628
897,-0.48370817,0.16286643
898,-0.4328153,0.14350496
899,-0.7685088,0.4498764
900,-0.76884097,0.42309064
901,-0.6230407,0.37991837
902,-0.566382,0.30746388
903,-0.49724463,0.18060507
904,-0.4751762,0.1260116
905,-0.45207912,0.18642336
906,-0.50243807,0.2095485
907,-0.48086947,0.15876247
908,-0.5252707,0.3145827
909,-0.68507946,0.40584067
910,-0.515241,0.18463188
911,-0.74664146,0.41782475
912,-0.79264104,0.4828771
913,-0.38805535,0.17205726
914,-0.41681638,0.12925953
915,-0.51664823,0.17874652
916,-0.4295564,0.1675322
917,-0.7040914,0.38724917
918,-0.41586435,0.14430633
919,-0.83934265,0.5707191
920,-0.5869159,0.37388185
921,-0.45427173,0.14815596
922,-0.47718063,0.14180359
923,-0.43871716,0.1650766
924,-0.64662087,0.40757197
925,-0.50773776,0.13961299
926,-0.4709278,0.14415865
927,-0.43436822,0.15263613
928,-0.4959449,0.17099962
929,-0.37787342,0.1412768
930,-0.5173723,0.15900755
931,-0.45676756,0.14840552
932,-0.8960596,0.5269372
